category,Country,country_code,CY2017
country,Canada,CAN,"20,494,208,078"
country,China,CHN,"19,612,135,009"
country,Mexico,MEX,"18,615,063,430"
country,Japan,JPN,"11,929,127,053"
country,European Union-28,None,"11,478,228,700"
country,South Korea,KOR,"6,889,455,200"
country,Hong Kong,HKG,"4,216,326,139"
country,Taiwan,TWN,"3,322,318,044"
country,Indonesia,IDN,"2,892,621,213"
country,Philippines,PHL,"2,591,675,978"
country,Vietnam,VNM,"2,539,511,788"
country,Colombia,COL,"2,529,844,765"
country,Thailand,THA,"1,837,850,695"
country,Turkey,TUR,"1,736,954,450"
country,India,IND,"1,619,573,811"
